x,y,z
-28.0, -33.0, -33.0
-28.0, -36.0, -36.0
-28.0, -36.0, -36.0
-27.0, -36.0, -36.0
-27.0, -36.0, -36.0
-28.0, -38.0, -38.0
-28.0, -38.0, -38.0
-27.0, -39.0, -39.0
-28.0, -38.0, -38.0
-28.0, -38.0, -38.0
-25.0, -40.0, -40.0
-25.0, -40.0, -40.0
-25.0, -42.0, -42.0
-25.0, -42.0, -42.0
-24.0, -42.0, -42.0
-24.0, -42.0, -42.0
-25.0, -43.0, -43.0
-21.0, -43.0, -43.0
-21.0, -43.0, -43.0
-24.0, -45.0, -45.0
-24.0, -45.0, -45.0
-21.0, -47.0, -47.0
-21.0, -47.0, -47.0
-22.0, -45.0, -45.0
-20.0, -47.0, -47.0
-20.0, -47.0, -47.0
-20.0, -48.0, -48.0
-20.0, -48.0, -48.0
-20.0, -49.0, -49.0
-20.0, -49.0, -49.0
-17.0, -49.0, -49.0
-19.0, -49.0, -49.0
-19.0, -49.0, -49.0
-16.0, -50.0, -50.0
-16.0, -50.0, -50.0
-16.0, -50.0, -50.0
-16.0, -50.0, -50.0
-14.0, -50.0, -50.0
-13.0, -50.0, -50.0
-13.0, -50.0, -50.0
-11.0, -51.0, -51.0
-11.0, -51.0, -51.0
-11.0, -51.0, -51.0
-11.0, -51.0, -51.0
-9.0, -50.0, -50.0
-9.0, -50.0, -50.0
-9.0, -50.0, -50.0
-9.0, -50.0, -50.0
-7.0, -50.0, -50.0
-7.0, -50.0, -50.0
-7.0, -50.0, -50.0
-5.0, -49.0, -49.0
-5.0, -49.0, -49.0
-5.0, -49.0, -49.0
-3.0, -49.0, -49.0
-3.0, -49.0, -49.0
-3.0, -49.0, -49.0
-3.0, -49.0, -49.0
-2.0, -49.0, -49.0
-2.0, -49.0, -49.0
0.0, -47.0, -47.0
0.0, -46.0, -46.0
0.0, -46.0, -46.0
0.0, -46.0, -46.0
0.0, -46.0, -46.0
1.0, -46.0, -46.0
1.0, -46.0, -46.0
2.0, -44.0, -44.0
2.0, -44.0, -44.0
3.0, -42.0, -42.0
3.0, -42.0, -42.0
4.0, -41.0, -41.0
3.0, -40.0, -40.0
3.0, -40.0, -40.0
5.0, -40.0, -40.0
5.0, -40.0, -40.0
4.0, -39.0, -39.0
5.0, -39.0, -39.0
5.0, -39.0, -39.0
7.0, -37.0, -37.0
7.0, -37.0, -37.0
7.0, -35.0, -35.0
7.0, -35.0, -35.0
7.0, -35.0, -35.0
7.0, -35.0, -35.0
8.0, -32.0, -32.0
7.0, -33.0, -33.0
7.0, -33.0, -33.0
7.0, -31.0, -31.0
7.0, -31.0, -31.0
7.0, -30.0, -30.0
8.0, -28.0, -28.0
8.0, -28.0, -28.0
8.0, -27.0, -27.0
8.0, -27.0, -27.0
6.0, -25.0, -25.0
6.0, -25.0, -25.0
8.0, -23.0, -23.0
8.0, -23.0, -23.0
6.0, -23.0, -23.0
6.0, -22.0, -22.0
6.0, -22.0, -22.0
5.0, -21.0, -21.0
5.0, -21.0, -21.0
5.0, -20.0, -20.0
5.0, -20.0, -20.0
6.0, -18.0, -18.0
4.0, -19.0, -19.0
4.0, -19.0, -19.0
4.0, -17.0, -17.0
4.0, -17.0, -17.0
2.0, -17.0, -17.0
2.0, -17.0, -17.0
2.0, -15.0, -15.0
1.0, -15.0, -15.0
1.0, -15.0, -15.0
0.0, -13.0, -13.0
0.0, -13.0, -13.0
-2.0, -14.0, -14.0
-2.0, -14.0, -14.0
-2.0, -13.0, -13.0
-2.0, -13.0, -13.0
-2.0, -12.0, -12.0
-3.0, -11.0, -11.0
-3.0, -11.0, -11.0
-6.0, -13.0, -13.0
-6.0, -13.0, -13.0
-4.0, -11.0, -11.0
-4.0, -11.0, -11.0
-7.0, -13.0, -13.0
-9.0, -11.0, -11.0
-9.0, -11.0, -11.0
-9.0, -10.0, -10.0
-9.0, -10.0, -10.0
-10.0, -12.0, -12.0
-10.0, -12.0, -12.0
-11.0, -11.0, -11.0
-12.0, -12.0, -12.0
-12.0, -12.0, -12.0
-14.0, -12.0, -12.0
-14.0, -12.0, -12.0
-15.0, -12.0, -12.0
-15.0, -12.0, -12.0
-16.0, -12.0, -12.0
-18.0, -14.0, -14.0
-18.0, -14.0, -14.0
-17.0, -14.0, -14.0
-17.0, -14.0, -14.0
-18.0, -16.0, -16.0
-18.0, -16.0, -16.0
-19.0, -15.0, -15.0
-19.0, -15.0, -15.0
-22.0, -16.0, -16.0
-21.0, -17.0, -17.0
-21.0, -17.0, -17.0
-23.0, -18.0, -18.0
-23.0, -18.0, -18.0
-22.0, -19.0, -19.0
-22.0, -19.0, -19.0
-24.0, -20.0, -20.0
-24.0, -21.0, -21.0
-24.0, -21.0, -21.0
-26.0, -22.0, -22.0
-26.0, -22.0, -22.0
-26.0, -22.0, -22.0
-26.0, -22.0, -22.0
-25.0, -23.0, -23.0
-27.0, -24.0, -24.0
-27.0, -24.0, -24.0
-27.0, -24.0, -24.0
-27.0, -24.0, -24.0
-26.0, -26.0, -26.0
-26.0, -26.0, -26.0
-27.0, -26.0, -26.0
-28.0, -27.0, -27.0
-28.0, -27.0, -27.0
-27.0, -27.0, -27.0
-27.0, -27.0, -27.0
-28.0, -31.0, -31.0
-28.0, -31.0, -31.0
-28.0, -32.0, -32.0
-28.0, -32.0, -32.0
-27.0, -32.0, -32.0
-26.0, -34.0, -34.0
-26.0, -34.0, -34.0
-28.0, -36.0, -36.0
-28.0, -36.0, -36.0
-27.0, -35.0, -35.0
-27.0, -35.0, -35.0
-28.0, -36.0, -36.0
-28.0, -36.0, -36.0
-28.0, -39.0, -39.0
-27.0, -39.0, -39.0
-27.0, -39.0, -39.0
-27.0, -40.0, -40.0
-27.0, -40.0, -40.0
-26.0, -40.0, -40.0
-26.0, -40.0, -40.0
-26.0, -41.0, -41.0
-25.0, -43.0, -43.0
-25.0, -43.0, -43.0
-25.0, -45.0, -45.0
-25.0, -45.0, -45.0
-24.0, -45.0, -45.0
-24.0, -45.0, -45.0
-23.0, -45.0, -45.0
-21.0, -47.0, -47.0
-21.0, -47.0, -47.0
-21.0, -47.0, -47.0
-21.0, -47.0, -47.0
-20.0, -47.0, -47.0
-20.0, -47.0, -47.0
-20.0, -47.0, -47.0
-19.0, -48.0, -48.0
-19.0, -48.0, -48.0
-18.0, -48.0, -48.0
-18.0, -48.0, -48.0
-17.0, -50.0, -50.0
-17.0, -50.0, -50.0
-15.0, -50.0, -50.0
-15.0, -50.0, -50.0
-16.0, -50.0, -50.0
-12.0, -49.0, -49.0
-12.0, -49.0, -49.0
-13.0, -51.0, -51.0
-13.0, -51.0, -51.0
-10.0, -50.0, -50.0
-10.0, -50.0, -50.0
-11.0, -52.0, -52.0
-9.0, -49.0, -49.0
-9.0, -49.0, -49.0
-9.0, -51.0, -51.0
-9.0, -51.0, -51.0
-6.0, -49.0, -49.0
-6.0, -49.0, -49.0
-7.0, -51.0, -51.0
-5.0, -49.0, -49.0
-5.0, -49.0, -49.0
-3.0, -51.0, -51.0
-3.0, -51.0, -51.0
-3.0, -49.0, -49.0
-3.0, -49.0, -49.0
-1.0, -49.0, -49.0
-1.0, -46.0, -46.0
-1.0, -46.0, -46.0
0.0, -47.0, -47.0
0.0, -47.0, -47.0
0.0, -45.0, -45.0
0.0, -45.0, -45.0
1.0, -45.0, -45.0
2.0, -44.0, -44.0
2.0, -44.0, -44.0
3.0, -44.0, -44.0
3.0, -44.0, -44.0
3.0, -43.0, -43.0
3.0, -43.0, -43.0
4.0, -41.0, -41.0
4.0, -41.0, -41.0
4.0, -40.0, -40.0
4.0, -40.0, -40.0
4.0, -40.0, -40.0
6.0, -38.0, -38.0
6.0, -38.0, -38.0
6.0, -37.0, -37.0
6.0, -37.0, -37.0
7.0, -37.0, -37.0
7.0, -37.0, -37.0
7.0, -35.0, -35.0
9.0, -34.0, -34.0
9.0, -34.0, -34.0
6.0, -31.0, -31.0
6.0, -31.0, -31.0
9.0, -32.0, -32.0
8.0, -31.0, -31.0
8.0, -31.0, -31.0
7.0, -31.0, -31.0
7.0, -31.0, -31.0
8.0, -28.0, -28.0
8.0, -28.0, -28.0
7.0, -26.0, -26.0
7.0, -26.0, -26.0
6.0, -25.0, -25.0
7.0, -24.0, -24.0
7.0, -24.0, -24.0
6.0, -24.0, -24.0
6.0, -24.0, -24.0
6.0, -22.0, -22.0
6.0, -22.0, -22.0
6.0, -21.0, -21.0
6.0, -21.0, -21.0
5.0, -19.0, -19.0
4.0, -19.0, -19.0
4.0, -19.0, -19.0
2.0, -18.0, -18.0
2.0, -18.0, -18.0
4.0, -18.0, -18.0
3.0, -16.0, -16.0
3.0, -16.0, -16.0
3.0, -15.0, -15.0
3.0, -15.0, -15.0
0.0, -13.0, -13.0
0.0, -13.0, -13.0
2.0, -14.0, -14.0
2.0, -14.0, -14.0
-1.0, -13.0, -13.0
-2.0, -14.0, -14.0
-2.0, -14.0, -14.0
-5.0, -12.0, -12.0
-5.0, -12.0, -12.0
-3.0, -12.0, -12.0
-3.0, -12.0, -12.0
-5.0, -12.0, -12.0
-7.0, -13.0, -13.0
-7.0, -13.0, -13.0
-7.0, -11.0, -11.0
-7.0, -11.0, -11.0
-9.0, -11.0, -11.0
-9.0, -11.0, -11.0
-10.0, -11.0, -11.0
-11.0, -12.0, -12.0
-11.0, -12.0, -12.0
-11.0, -12.0, -12.0
-11.0, -12.0, -12.0
-14.0, -12.0, -12.0
-14.0, -12.0, -12.0
-14.0, -13.0, -13.0
-15.0, -11.0, -11.0
-15.0, -11.0, -11.0
-15.0, -11.0, -11.0
-15.0, -14.0, -14.0
-17.0, -14.0, -14.0
-17.0, -14.0, -14.0
-17.0, -15.0, -15.0
-17.0, -15.0, -15.0
-20.0, -14.0, -14.0
-19.0, -15.0, -15.0
-19.0, -15.0, -15.0
-21.0, -17.0, -17.0
-21.0, -17.0, -17.0
-21.0, -17.0, -17.0
-21.0, -17.0, -17.0
